"";"Country.Region";"Lat";"Long";"name";"2020-01-22";"2020-01-23";"2020-01-24";"2020-01-25";"2020-01-26";"2020-01-27";"2020-01-28";"2020-01-29";"2020-01-30";"2020-01-31";"2020-02-01";"2020-02-02";"2020-02-03";"2020-02-04";"2020-02-05";"2020-02-06";"2020-02-07";"2020-02-08";"2020-02-09";"2020-02-10";"2020-02-11";"2020-02-12";"2020-02-13";"2020-02-14";"2020-02-15";"2020-02-16";"2020-02-17";"2020-02-18";"2020-02-19";"2020-02-20";"2020-02-21";"2020-02-22";"2020-02-23";"2020-02-24";"2020-02-25";"2020-02-26";"2020-02-27";"2020-02-28";"2020-02-29";"2020-03-01";"2020-03-02";"2020-03-03";"2020-03-04";"2020-03-05";"2020-03-06";"2020-03-07";"2020-03-08";"2020-03-09";"2020-03-10";"2020-03-11";"2020-03-12";"2020-03-13";"2020-03-14";"2020-03-15";"2020-03-16";"2020-03-17";"2020-03-18";"2020-03-19";"2020-03-20";"2020-03-21";"2020-03-22";"2020-03-23";"2020-03-24";"2020-03-25";"2020-03-26";"2020-03-27";"2020-03-28";"2020-03-29";"2020-03-30";"2020-03-31";"2020-04-01";"2020-04-02";"2020-04-03";"2020-04-04";"2020-04-05";"2020-04-06";"2020-04-07";"2020-04-08";"2020-04-09";"2020-04-10";"2020-04-11";"2020-04-12";"2020-04-13";"2020-04-14";"2020-04-15";"2020-04-16";"2020-04-17";"2020-04-18";"2020-04-19";"2020-04-20";"2020-04-21";"2020-04-22";"2020-04-23";"2020-04-24";"2020-04-25";"2020-04-26";"2020-04-27";"2020-04-28";"2020-04-29";"2020-04-30";"2020-05-01";"2020-05-02"
"139";"Saint Kitts and Nevis";17,357822;-62,782998;"Saint Kitts and Nevis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"140";"Saint Lucia";13,9094;-60,9789;"Saint Lucia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"141";"Saint Vincent and the Grenadines";12,9843;-61,2872;"Saint Vincent and the Grenadines";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"142";"San Marino";43,9424;12,4578;"San Marino";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;2;0;0;2;0;4;0;3;6;0;0;1;0;0;0;1;0;3;1;0;4;0;2;0;0;2;0;0;0;1;0;0;1;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"143";"Sao Tome and Principe";0,18636;6,613081;"Sao Tome and Principe";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"144";"Saudi Arabia";24;45;"Saudi Arabia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;4;0;2;6;5;4;4;5;4;3;0;3;3;5;7;6;8;6;4;4;5;5;6;6;5;7;6;9;3;5;8;5;5;7;7
"145";"Senegal";14,4974;-14,4524;"Senegal";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;2;0;0;0;0;0;0
"146";"Serbia";44,0165;21,0059;"Serbia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;-3;0;9;3;3;0;12;3;8;5;7;7;3;4;1;5;3;6;5;9;5;4;7;7;5;3;5;4;5;5;7;5;6;6;5;6;0;10
"147";"Seychelles";-4,6796;55,492;"Seychelles";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"148";"Sierra Leone";8,460555;-11,779889;"Sierra Leone";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;3;0;1
"149";"Singapore";1,2833;103,8333;"Singapore";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;2;0;0;1;1;1
"150";"Slovakia";48,669;19,699;"Slovakia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;2;1;2;1;1;1;0;1;2;0;1;0;2;2;1;0;1
"151";"Slovenia";46,1512;14,9955;"Slovenia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;3;0;2;0;4;0;2;3;2;6;2;6;4;3;2;5;3;2;1;5;0;5;4;4;3;0;2;0;1;1;1;1;3;3;2;1;2
"152";"Somalia";5,1521;46,1996;"Somalia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;1;1;0;1;0;0;8;0;2;5;3;2;0;0;0;3
"153";"South Africa";-30,5595;22,9375;"South Africa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;0;0;4;0;2;1;1;5;0;6;1;0;2;0;7;14;2;2;2;4;0;7;10;4;7;1;3;3;10;0;13;7
"154";"South Sudan";6,877;31,307;"South Sudan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"155";"Spain";40;-4;"Spain";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;5;7;11;7;19;1;78;62;94;53;191;90;207;213;332;397;539;497;839;718;773;844;821;913;748;923;961;850;749;694;700;704;747;655;634;525;603;547;300;652;607;687;41;410;399;430;435;440;367;378;288;331;301;453;268;0;557
"156";"Sri Lanka";7;81;"Sri Lanka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"157";"Sudan";12,8628;30,2176;"Sudan";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;4;0;2;0;1;3;0;1;4;1;3;3;3;5;5
"158";"Suriname";3,9193;-56,0278;"Suriname";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"159";"Sweden";63;16;"Sweden";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;1;3;1;5;4;1;4;11;26;15;28;0;5;36;34;59;69;50;15;28;76;114;96;106;77;17;12;20;114;170;130;67;111;29;40;185;172;84;131;40;2;80;81;107;124;67;16
