"";"Country.Region";"Lat";"Long";"date";"name";"confirmed";"death";"recovered"
"143";"Albania";41,1533;20,1683;2020-03-02;"Albania";0;0;0
"144";"Albania";41,1533;20,1683;2020-03-03;"Albania";0;0;0
"145";"Albania";41,1533;20,1683;2020-03-04;"Albania";0;0;0
"146";"Albania";41,1533;20,1683;2020-03-05;"Albania";0;0;0
"147";"Albania";41,1533;20,1683;2020-03-06;"Albania";0;0;0
"148";"Albania";41,1533;20,1683;2020-03-07;"Albania";0;0;0
"149";"Albania";41,1533;20,1683;2020-03-08;"Albania";0;0;0
"150";"Albania";41,1533;20,1683;2020-03-09;"Albania";2;0;0
"151";"Albania";41,1533;20,1683;2020-03-10;"Albania";8;0;0
"152";"Albania";41,1533;20,1683;2020-03-11;"Albania";2;1;0
"153";"Albania";41,1533;20,1683;2020-03-12;"Albania";11;0;0
"154";"Albania";41,1533;20,1683;2020-03-13;"Albania";10;0;0
"155";"Albania";41,1533;20,1683;2020-03-14;"Albania";5;0;0
"156";"Albania";41,1533;20,1683;2020-03-15;"Albania";4;0;0
"157";"Albania";41,1533;20,1683;2020-03-16;"Albania";9;0;0
"158";"Albania";41,1533;20,1683;2020-03-17;"Albania";4;0;0
"159";"Albania";41,1533;20,1683;2020-03-18;"Albania";4;1;0
"160";"Albania";41,1533;20,1683;2020-03-19;"Albania";5;0;0
"161";"Albania";41,1533;20,1683;2020-03-20;"Albania";6;0;0
"162";"Albania";41,1533;20,1683;2020-03-21;"Albania";6;0;2
"163";"Albania";41,1533;20,1683;2020-03-22;"Albania";13;0;0
"164";"Albania";41,1533;20,1683;2020-03-23;"Albania";15;2;0
"165";"Albania";41,1533;20,1683;2020-03-24;"Albania";19;1;8
"166";"Albania";41,1533;20,1683;2020-03-25;"Albania";23;0;7
"167";"Albania";41,1533;20,1683;2020-03-26;"Albania";28;1;0
"168";"Albania";41,1533;20,1683;2020-03-27;"Albania";12;2;14
"169";"Albania";41,1533;20,1683;2020-03-28;"Albania";11;2;0
"170";"Albania";41,1533;20,1683;2020-03-29;"Albania";15;0;2
"171";"Albania";41,1533;20,1683;2020-03-30;"Albania";11;1;11
"172";"Albania";41,1533;20,1683;2020-03-31;"Albania";20;4;8
"173";"Albania";41,1533;20,1683;2020-04-01;"Albania";16;0;15
"174";"Albania";41,1533;20,1683;2020-04-02;"Albania";18;1;9
"175";"Albania";41,1533;20,1683;2020-04-03;"Albania";27;1;13
"176";"Albania";41,1533;20,1683;2020-04-04;"Albania";29;3;10
"177";"Albania";41,1533;20,1683;2020-04-05;"Albania";28;0;5
"178";"Albania";41,1533;20,1683;2020-04-06;"Albania";16;1;12
"179";"Albania";41,1533;20,1683;2020-04-07;"Albania";6;1;15
"180";"Albania";41,1533;20,1683;2020-04-08;"Albania";17;0;23
"181";"Albania";41,1533;20,1683;2020-04-09;"Albania";9;1;11
"182";"Albania";41,1533;20,1683;2020-04-10;"Albania";7;0;17
"183";"Albania";41,1533;20,1683;2020-04-11;"Albania";17;0;15
"184";"Albania";41,1533;20,1683;2020-04-12;"Albania";13;0;20
"185";"Albania";41,1533;20,1683;2020-04-13;"Albania";21;0;15
"186";"Albania";41,1533;20,1683;2020-04-14;"Albania";8;1;16
"187";"Albania";41,1533;20,1683;2020-04-15;"Albania";19;1;3
"188";"Albania";41,1533;20,1683;2020-04-16;"Albania";24;1;26
"189";"Albania";41,1533;20,1683;2020-04-17;"Albania";21;0;6
"190";"Albania";41,1533;20,1683;2020-04-18;"Albania";9;0;19
"191";"Albania";41,1533;20,1683;2020-04-19;"Albania";14;0;12
"192";"Albania";41,1533;20,1683;2020-04-20;"Albania";22;0;13
"193";"Albania";41,1533;20,1683;2020-04-21;"Albania";25;0;18
"194";"Albania";41,1533;20,1683;2020-04-22;"Albania";25;1;11
"195";"Albania";41,1533;20,1683;2020-04-23;"Albania";29;0;29
"196";"Albania";41,1533;20,1683;2020-04-24;"Albania";15;0;9
"197";"Albania";41,1533;20,1683;2020-04-25;"Albania";34;0;9
"198";"Albania";41,1533;20,1683;2020-04-26;"Albania";14;1;7
"199";"Albania";41,1533;20,1683;2020-04-27;"Albania";10;0;12
"200";"Albania";41,1533;20,1683;2020-04-28;"Albania";14;2;9
"201";"Albania";41,1533;20,1683;2020-04-29;"Albania";16;0;24
"202";"Albania";41,1533;20,1683;2020-04-30;"Albania";7;1;15
